system,accent,LinguaPy,metricx_qe_score,QEMetricX_24-Strict-linguapy,xcomet_qe_score,XCOMET-QE-Strict-linguapy
seamlessm4t,SOUTHERN AFRICAN SOUTH AFRICA ZIMBABWE NAMIBIA,6.0,1.785719133913517,3.184511656463146,0.9747004741430283,0.9159637743234634
seamlessm4t,UNITED STATES ENGLISH,2.0,3.323336276113987,3.7024093727767466,0.9096671366691589,0.8918772792816162
voxtral-small-24b,AUSTRALIAN ENGLISH,3.0,1.9807371085882186,2.7072520250082017,0.9484531807899476,0.9188016498088837
voxtral-small-24b,CANADIAN ENGLISH,2.0,2.9970029774308204,3.229131443798542,0.9273990154266357,0.9162210416793823
voxtral-small-24b,ENGLAND ENGLISH,5.0,3.6836334437131883,4.58909540206194,0.8857915975153446,0.8559292075037956
voxtral-small-24b,FILIPINO,5.0,2.836832408979535,3.994320001080632,0.9025626391172409,0.8591739076375962
voxtral-small-24b,GERMAN ENGLISH NON NATIVE SPEAKER,3.0,2.371101689375937,3.0897204345837235,0.9425846526026725,0.9125846526026726
voxtral-small-24b,HONG KONG ENGLISH,7.000000000000001,2.8288961207866667,4.34934241771698,0.8961472755670548,0.8357155746221543
voxtral-small-24b,INDIA AND SOUTH ASIA INDIA PAKISTAN SRI LANKA,4.0,3.5916734751686454,4.382820579670369,0.857607874572277,0.8385658150911331
voxtral-small-24b,IRISH ENGLISH,9.0,2.7596457225084303,4.765111166834831,0.9235537242889404,0.8518818572163582
voxtral-small-24b,MALAYSIAN ENGLISH,4.0,3.2692627876996996,4.04039506494999,0.8977623318880796,0.863972467109561
voxtral-small-24b,NEW ZEALAND ENGLISH,4.0,2.559876117706299,3.277938566803932,0.9137537941336632,0.8847241428494453
voxtral-small-24b,SCOTTISH ENGLISH,2.0,2.0149988026916983,2.5088773436844347,0.9582134133577347,0.9382134133577347
voxtral-small-24b,SINGAPOREAN ENGLISH,1.0,2.625860399752855,2.857362529784441,0.9163005897402763,0.9063005897402764
voxtral-small-24b,SOUTHERN AFRICAN SOUTH AFRICA ZIMBABWE NAMIBIA,6.0,2.5176075674965976,3.871381700821221,0.9118921951949597,0.8586862798035145
voxtral-small-24b,UNITED STATES ENGLISH,4.0,3.6792887499183418,4.443628390207887,0.8470790081471204,0.8171117078512907
