system,LinguaPy,,,,,,,,,,,,metricx_qe_score,,,,,,,,,,,,QEMetricX_24-Strict-linguapy,,,,,,,,,,,,xcomet_qe_score,,,,,,,,,,,,XCOMET-QE-Strict-linguapy,,,,,,,,,,,
,en-es,en-fr,en-pt,en-it,en-de,en-nl,en-zh,es-en,fr-en,pt-en,it-en,de-en,en-es,en-fr,en-pt,en-it,en-de,en-nl,en-zh,es-en,fr-en,pt-en,it-en,de-en,en-es,en-fr,en-pt,en-it,en-de,en-nl,en-zh,es-en,fr-en,pt-en,it-en,de-en,en-es,en-fr,en-pt,en-it,en-de,en-nl,en-zh,es-en,fr-en,pt-en,it-en,de-en,en-es,en-fr,en-pt,en-it,en-de,en-nl,en-zh,es-en,fr-en,pt-en,it-en,de-en
aya_canary-v2,0.6314127861089187,0.0,0.15847860538827258,0.0,0.1596169193934557,0.24291497975708504,0.1596169193934557,0.38022813688212925,,,,0.41809198023565186,2.2518183647845333,2.4230833647364545,2.6816957380368764,2.143016716197007,1.2838120913788593,2.19064844132435,2.5363294399787164,3.212054210867265,,,,3.369253590408499,2.372356028287968,2.4230833647364545,2.705600920072779,2.143016716197007,1.3147605127831126,2.2320115049358322,2.562549394777629,3.250246745948556,,,,3.464351581750103,0.9325589840289356,0.8993161994859552,0.9337240474242511,0.9282947588964539,0.9639122902288593,0.9442508915235639,0.8652166173111793,0.9009216063631125,,,,0.8999135356434667,0.9285854974963011,0.8993161994859552,0.9328946749755017,0.9282947588964539,0.9630312769415849,0.9428726685915881,0.8645229999389252,0.900462997786899,,,,0.8962924248878379
gemma_canary-v2,0.4735595895816891,0.08237232289950577,0.31695721077654515,0.17699115044247787,0.1596169193934557,0.24291497975708504,0.0,0.6607929515418502,0.2771618625277162,0.30621172353455817,0.41518386714116245,0.4941087039148613,2.2686324633816706,2.503858822574333,2.8405944829166123,2.28136167103606,1.5034762404781765,2.3194848992594097,2.5269384928380645,3.465995689566834,3.7141814418715278,3.6350552072636098,3.9741205993513904,3.584938739612274,2.3610206053319556,2.5202209103048534,2.8989012973846515,2.3047701489542964,1.5344246618824298,2.3709513321971363,2.5269384928380645,3.5954828381636856,3.7638659954830973,3.6825957759849772,4.0626328538038265,3.697249263491027,0.9274906213288714,0.8915120909631842,0.9306798705952197,0.9225516461824949,0.9581851866705743,0.9396451334540661,0.8570562180336817,0.8854104439329996,0.8542333749678407,0.8781967635028866,0.8613983951459284,0.8925033571692031,0.9240905234579881,0.8913482163267139,0.928413641941623,0.9216757934837214,0.9573041733832999,0.9379415628881107,0.8570562180336817,0.8815507623879855,0.8528376859540487,0.876794141014842,0.8592252862614316,0.8880663517875301
tower_canary-v2,0.5524861878453038,0.08237232289950577,0.39619651347068147,0.17699115044247787,0.1596169193934557,0.32388663967611336,0.0,0.6607929515418502,0.2771618625277162,0.13123359580052493,0.3558718861209964,0.41809198023565186,2.2819429939258447,2.537888015612739,2.805426938412047,2.302722529776856,1.2558484548065108,1.9611573751397462,2.4353500222794695,3.405147220676822,3.504499951860725,3.547113722286408,3.832046338795626,3.3567204143454124,2.394170950019134,2.55438229760778,2.880094734503166,2.3306131846741236,1.286796876210764,2.0265321801186573,2.4353500222794695,3.5274668299974588,3.5463787649826304,3.5740485938619546,3.8958848000880804,3.453756925578083,0.9332154382611224,0.9015139130663734,0.9357393049943467,0.9257528308482297,0.9649596672329728,0.9494976321273004,0.8740524568811285,0.8885521781241054,0.8637503329726419,0.884279771042256,0.8655270380967806,0.8993684299593188,0.9289697484652076,0.9011086091411468,0.9327008053601354,0.925099288705176,0.9640786539456984,0.9472892879233187,0.8740524568811285,0.8846733500434307,0.8624973265462433,0.8833735469314787,0.863441344279871,0.8957833279390065
aya_owsm4.0-ctc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gemma_owsm4.0-ctc,0.4735595895816891,0.16474464579901155,0.39619651347068147,0.17699115044247787,0.23942537909018355,0.32388663967611336,0.1596169193934557,0.6607929515418502,0.2771618625277162,0.17497812773403326,0.3558718861209964,0.45610034207525657,2.822311722518378,3.095704470781066,3.421804593914379,2.873893690722442,1.87552719413699,2.7423066341985574,2.8115237729872167,4.111371265699685,4.093890194089344,4.760486978662713,4.6373335947310235,4.084253342330161,2.9169854816540357,3.1166700907481166,3.5036200185183866,2.896361748287372,1.9230494038941426,2.819473564425702,2.8367244345117406,4.236456654752535,4.144244061456684,4.7838043315517,4.698166130400072,4.179225183391879,0.9060069488180653,0.8585464966036932,0.912195806702962,0.8956535492281932,0.9467118030617643,0.9182854086643288,0.8349407955778188,0.8423790201618611,0.8258898718563422,0.8014154295820608,0.8069901800505079,0.8633074172277249,0.902312191639863,0.8576776165901829,0.909624415982615,0.8946873474066698,0.9451684276829789,0.9157304055053695,0.8346551348591269,0.8385934057165478,0.8246251265652593,0.8006381251944362,0.8054937772142943,0.8599061731564844
tower_owsm4.0-ctc,0.5524861878453038,0.08237232289950577,0.39619651347068147,0.35398230088495575,0.23942537909018355,0.32388663967611336,0.1596169193934557,0.6607929515418502,0.3325942350332594,0.39370078740157477,0.41518386714116245,0.41809198023565186,2.966668475836798,3.1134045329527957,3.413442535319981,2.7982013875206486,1.691548573553372,2.4304256751258606,2.7675045069428985,3.9406607205023585,3.879930523110599,4.585380293096457,4.451340588616166,3.77254819585678,3.0792741298163935,3.1158093853532973,3.4741594536811493,2.8555705023880025,1.7263294428955624,2.4923242135719974,2.7813704025300616,4.065047107029723,3.938231311887172,4.655677758176808,4.519104370743496,3.8648041915367966,0.9080964722924211,0.870996947269856,0.914763280983111,0.9032047708840233,0.9510045039860706,0.9314030401227686,0.8512578574555546,0.8507007308866386,0.8371714283949685,0.8094070716300688,0.8215842117552126,0.875353649377551,0.9036759235620522,0.8709090195866256,0.9132684303975993,0.9006362141794072,0.9494989898118227,0.9288939217113049,0.8507388165638339,0.8465074926249617,0.8358584891637155,0.8073013422901523,0.8191491743640296,0.8717477036174918
desta2-8b,1.5785319652722969,0.9060955518945634,1.7432646592709984,1.592920353982301,0.8778930566640064,2.186234817813765,30.24740622505986,0.6057268722466961,0.22172949002217296,0.3499562554680665,0.41518386714116245,0.5321170657544659,8.113597670971359,8.332453096509472,9.241102207286753,8.73091418526869,6.605311019184084,8.629482858229865,10.406402148062575,5.51034013868724,5.351291554069308,5.9762904386208024,6.35865201199182,5.390575690137619,8.290100211690708,8.429766074817204,9.426635497056314,8.903060515422737,6.702516453116181,8.87434878839474,12.406761782985635,5.619034497559661,5.392654809084806,6.019973241627112,6.415444335497005,5.488454147623955,0.6453499208135445,0.5280644769551727,0.6298225541103176,0.5796659326279717,0.6962300726500208,0.6378400566833101,0.4337954375363666,0.6842489258287728,0.6537145405033079,0.6447612485658517,0.5941279705537622,0.6913510199108082,0.6405655541286793,0.5258337489438214,0.6240376541169623,0.57625045709279,0.6935253568939086,0.6307110553298161,0.38378010789662337,0.6813749254820664,0.6522343773105721,0.6437413085313972,0.5931839564940002,0.6885700622628008
qwen2audio-7b,1.420678768745067,0.9060955518945634,1.4263074484944533,1.1504424778761062,1.1971268954509178,1.214574898785425,0.23942537909018355,1.9273127753303965,0.7760532150776054,0.7436570428696413,1.6607354685646498,1.7863930064614217,3.9188267438486513,3.7499380145694516,4.404510629902079,4.20127136125765,2.8251172105223534,4.658263511913508,3.2593900866699475,4.629831360521755,4.862519463767894,4.805890813567664,5.386556556127957,5.134447647297577,4.126108081013129,3.847572375819259,4.65697970427868,4.378283371426891,3.0597474535708655,4.806687330355046,3.2858619781720906,4.942675344539306,4.968495313961992,4.931281556640137,5.592746897789507,5.46364256370344,0.8505623760179638,0.8367670252919197,0.8710937753095397,0.8350214306693688,0.9157737131986443,0.837839453251135,0.7973799682612526,0.8060682885767276,0.7765164819903292,0.805976223014784,0.7643106766310239,0.7845169168881752,0.8395775209791847,0.8313724750029982,0.8621060118114608,0.8252913856862393,0.9061994569856267,0.8297780855675699,0.7954049616493136,0.7941128765827759,0.7731984617134883,0.801273196101293,0.7551490634962615,0.7720356799183532
phi4multimodal,16.101026045777427,48.84678747940691,19.809825673534075,12.389380530973451,21.707901037509977,26.396761133603242,9.896249002394255,10.848017621145374,0.9977827050997782,5.380577427821522,9.905100830367735,11.554541999239833,5.766646801472745,12.302030454664392,7.271152640626472,5.690448200096071,5.970193762344094,9.228551079438404,4.746084303531948,5.394094870183699,4.352741519406338,4.806342041157414,5.707323211809777,5.339964143934697,6.720135351559169,14.211773211237725,8.47175792662542,6.44509856861777,7.08541203873843,10.677436415051762,5.473731426351183,6.388669190854491,4.464894275591933,5.230060541769286,6.601940966320631,6.804397168018119,0.9073672830108803,0.8884272400283637,0.8911398437764148,0.8767365644232625,0.9407235889889579,0.8524735096796804,0.827776211724934,0.8493035422219579,0.8162529499511629,0.8450359769136183,0.8016437381265126,0.8652067026169422,0.762966174213326,0.43412165861128776,0.7176814943739462,0.7660275809170134,0.7407564396679354,0.6162953998154475,0.740047534459463,0.7563243108813852,0.8107447050999181,0.798780404130683,0.7327559663243548,0.7579494618786997
voxtral-small-24b,0.3946329913180742,0.16474464579901155,0.31695721077654515,0.2654867256637168,0.1596169193934557,0.24291497975708504,0.0,0.4955947136563877,0.2771618625277162,0.17497812773403326,0.29655990510083036,0.34207525655644244,2.393180728279166,2.670839980932005,3.0202475700987925,2.436862603449716,1.3960325838990528,2.2036361631021086,2.6702221357497757,3.5171741113427712,3.7561322167647915,3.6524330392571156,4.152915287051408,3.680923738432266,2.4756327330648618,2.704011562800486,3.0841662950146644,2.496581162512302,1.4310946471198311,2.260834703998648,2.6702221357497757,3.6250983255747133,3.810461246237126,3.6937577199200633,4.202088810459292,3.762425262827875,0.9272990353587771,0.8923878642244041,0.9257627112404244,0.9168430859470262,0.9577698506718146,0.9351844632311871,0.8542358437753732,0.8800631503037091,0.8506567567337032,0.8773125058833643,0.8375888404779993,0.882624147198627,0.9240238538398551,0.8920318167134996,0.9241324190475436,0.9144272479269885,0.9563675310049453,0.9328425012740046,0.8542358437753732,0.8765154198378259,0.8494659198185804,0.8759018575653682,0.8359009869659623,0.8795517611553442
