system,LinguaPy,,,,,metricx_qe_score,,,,,QEMetricX_24-Strict-linguapy,,,,,xcomet_qe_score,,,,,XCOMET-QE-Strict-linguapy,,,,
,es-en,fr-en,pt-en,it-en,de-en,es-en,fr-en,pt-en,it-en,de-en,es-en,fr-en,pt-en,it-en,de-en,es-en,fr-en,pt-en,it-en,de-en,es-en,fr-en,pt-en,it-en,de-en
aya canary-v2,0.38022813688212925,0.2771618625277162,0.26246719160104987,0.4744958481613286,0.41809198023565186,87.15178315653094,86.00021483106518,85.97425414234634,84.83594635068876,86.52298563836601,86.99901301620578,85.78415910057112,85.75888780656345,84.51298932199093,86.1425936729996,0.9009216063631125,0.8687794371621638,0.8839098537750302,0.8709447564444508,0.8999135356434667,0.900462997786899,0.8673762830961371,0.8820514186340538,0.8691578908588115,0.8962924248878379
gemma canary-v2,0.6607929515418502,0.2771618625277162,0.30621172353455817,0.41518386714116245,0.4941087039148613,86.13601724173266,85.14327423251389,85.45977917094557,84.10351760259444,85.66024504155091,85.61806864734525,84.94453601806761,85.26961689606009,83.7494685847847,85.21100294603589,0.8854104439329996,0.8542333749678407,0.8781967635028866,0.8613983951459284,0.8925033571692031,0.8815507623879855,0.8528376859540487,0.876794141014842,0.8592252862614316,0.8880663517875301
tower canary-v2,0.6607929515418502,0.2771618625277162,0.13123359580052493,0.3558718861209964,0.41809198023565186,86.3794111172927,85.9820001925571,85.81154511085437,84.6718146448175,86.57311834261836,85.89013268001017,85.81448494006948,85.70380562455219,84.41646079964768,86.18497229768766,0.8885521781241054,0.8637503329726419,0.884279771042256,0.8655270380967806,0.8993684299593188,0.8846733500434307,0.8624973265462433,0.8833735469314787,0.863441344279871,0.8957833279390065
aya owsm4.0-ctc,0.6057268722466961,0.3325942350332594,0.3499562554680665,0.41518386714116245,0.34207525655644244,84.55289907819112,84.70533331422479,82.18505110192069,82.43752902046216,85.1590342672095,84.02527474759697,84.46070473798099,81.88991364792368,82.13399222807811,84.85592221366457,0.8576023737748157,0.8420834722877077,0.8179777414201451,0.8222551569784522,0.8773526840877597,0.8528538669012323,0.8404184323126355,0.8154848447356338,0.8207113107982338,0.8746439876669897
gemma owsm4.0-ctc,0.6607929515418502,0.2771618625277162,0.17497812773403326,0.3558718861209964,0.45610034207525657,83.55451493720126,83.62443922364263,80.95805208534915,81.4506656210759,83.66298663067936,83.05417338098985,83.42302375417327,80.8647826737932,81.20733547839971,83.28309926643249,0.8423790201618611,0.8258898718563422,0.8014154295820608,0.8069901800505079,0.8633074172277249,0.8385934057165478,0.8246251265652593,0.8006381251944362,0.8054937772142943,0.8599061731564844
tower owsm4.0-ctc,0.6607929515418502,0.3325942350332594,0.39370078740157477,0.41518386714116245,0.41809198023565186,84.23735711799057,84.4802779075576,81.65847882761418,82.19463764553534,84.90980721657289,83.7398115718811,84.24707475245131,81.37728896729277,81.92358251702602,84.5407832338528,0.8507007308866386,0.8371714283949685,0.8094070716300688,0.8215842117552126,0.875353649377551,0.8465074926249617,0.8358584891637155,0.8073013422901523,0.8191491743640296,0.8717477036174918
desta2-8b,0.6057268722466961,0.22172949002217296,0.3499562554680665,0.41518386714116245,0.5321170657544659,77.95863944525104,78.59483378372278,76.0948382455168,74.56539195203271,78.43769723944952,77.52386200976136,78.42938076366077,75.92010703349155,74.33822265801197,78.04618340950418,0.6842489258287728,0.6537145405033079,0.6447612485658517,0.5941279705537622,0.6913510199108082,0.6813749254820664,0.6522343773105721,0.6437413085313972,0.5931839564940002,0.6885700622628008
qwen2audio-7b,1.9273127753303965,0.7760532150776054,0.7436570428696413,1.6607354685646498,1.7863930064614217,81.48067455791298,80.54992214492842,80.77643674572934,78.45377377548817,79.46220941080969,80.22929862184277,80.12601874415203,80.27487377343945,77.62901240884197,78.14542974518625,0.8060682885767276,0.7765164819903292,0.805976223014784,0.7643106766310239,0.7845169168881752,0.7941128765827759,0.7731984617134883,0.801273196101293,0.7551490634962615,0.7720356799183532
phi4multimodal,10.848017621145374,0.9977827050997782,5.380577427821522,9.905100830367735,11.554541999239833,78.4236205192652,82.58903392237465,80.77463183537034,77.17070715276088,78.64014342426121,74.44532323658204,82.14042289763226,79.07975783292285,73.59223613471747,72.78241132792752,0.8493035422219579,0.8162529499511629,0.8450359769136183,0.8016437381265126,0.8652067026169422,0.7563243108813852,0.8107447050999181,0.798780404130683,0.7327559663243548,0.7579494618786997
voxtral-small-24b,0.4955947136563877,0.2771618625277162,0.17497812773403326,0.29655990510083036,0.34207525655644244,85.93130355462891,84.97547113294084,85.39026784297154,83.38833885179437,85.27630504627093,85.49960669770115,84.7581550150515,85.22496912031974,83.19164475816282,84.9502989486885,0.8800631503037091,0.8506567567337032,0.8773125058833643,0.8375888404779993,0.882624147198627,0.8765154198378259,0.8494659198185804,0.8759018575653682,0.8359009869659623,0.8795517611553442
